source,feature,n_total,n_present,coverage_pct
dplace,ancestor_mediation,1850,183,9.9
dplace,animal_transformation,1850,183,9.9
dplace,chanting_singing,1850,131,7.1
dplace,dedicated_specialist,1850,0,0.0
dplace,divination,1850,183,9.9
dplace,entheogen_use,1850,171,9.2
dplace,healing_function,1850,0,0.0
dplace,hereditary_transmission,1850,39,2.1
dplace,initiatory_crisis,1850,73,3.9
dplace,initiatory_ordeal,1850,164,8.9
dplace,layered_cosmology,1850,172,9.3
dplace,nature_spirits,1850,171,9.2
dplace,possession_crisis,1850,161,8.7
dplace,public_performance,1850,135,7.3
dplace,rhythmic_percussion,1850,182,9.8
dplace,ritual_performance,1850,136,7.4
dplace,soul_flight,1850,161,8.7
dplace,specialist_presence,1850,320,17.3
dplace,spirit_possession,1850,239,12.9
dplace,trance_induction,1850,419,22.6
dplace,unmapped_shamanic_indicators,1850,558,30.2
drh,ancestor_mediation,5,1,20.0
drh,animal_transformation,5,0,0.0
drh,chanting_singing,5,0,0.0
drh,dedicated_specialist,5,0,0.0
drh,divination,5,2,40.0
drh,entheogen_use,5,0,0.0
drh,healing_function,5,2,40.0
drh,hereditary_transmission,5,0,0.0
drh,initiatory_crisis,5,0,0.0
drh,initiatory_ordeal,5,0,0.0
drh,layered_cosmology,5,0,0.0
drh,nature_spirits,5,0,0.0
drh,possession_crisis,5,0,0.0
drh,public_performance,5,0,0.0
drh,rhythmic_percussion,5,0,0.0
drh,ritual_performance,5,0,0.0
drh,soul_flight,5,0,0.0
drh,specialist_presence,5,0,0.0
drh,spirit_possession,5,0,0.0
drh,trance_induction,5,4,80.0
drh,unmapped_shamanic_indicators,5,0,0.0
seshat,ancestor_mediation,455,0,0.0
seshat,animal_transformation,455,0,0.0
seshat,chanting_singing,455,0,0.0
seshat,dedicated_specialist,455,400,87.9
seshat,divination,455,0,0.0
seshat,entheogen_use,455,0,0.0
seshat,healing_function,455,0,0.0
seshat,hereditary_transmission,455,0,0.0
seshat,initiatory_crisis,455,0,0.0
seshat,initiatory_ordeal,455,0,0.0
seshat,layered_cosmology,455,0,0.0
seshat,nature_spirits,455,0,0.0
seshat,possession_crisis,455,0,0.0
seshat,public_performance,455,0,0.0
seshat,rhythmic_percussion,455,0,0.0
seshat,ritual_performance,455,0,0.0
seshat,soul_flight,455,0,0.0
seshat,specialist_presence,455,0,0.0
seshat,spirit_possession,455,0,0.0
seshat,trance_induction,455,0,0.0
seshat,unmapped_shamanic_indicators,455,0,0.0
