culture_id,cluster_id,method
Ca23,4,kmeans
Ca34,4,kmeans
CARNEIRO6_047,0,kmeans
SCCS55,0,kmeans
Af38,0,kmeans
SCCS89,0,kmeans
Af40,0,kmeans
Nc10,2,kmeans
Nh13,2,kmeans
Cb21,4,kmeans
Af35,0,kmeans
Ie26,0,kmeans
Ca6,2,kmeans
Af23,0,kmeans
Cf2,0,kmeans
CARNEIRO4_047,0,kmeans
Af36,4,kmeans
Ei11,0,kmeans
SCCS118,3,kmeans
SCCS103,0,kmeans
Sf7,2,kmeans
CARNEIRO6_064,0,kmeans
CARNEIRO4_116,0,kmeans
Ej7,2,kmeans
WNAI145,1,kmeans
SCCS45,0,kmeans
Ia18,0,kmeans
Af12,0,kmeans
SCCS127,3,kmeans
Cd12,2,kmeans
Af44,0,kmeans
WNAI29,0,kmeans
Aj17,4,kmeans
CARNEIRO6_063,0,kmeans
Ca35,4,kmeans
Ai43,2,kmeans
Ae1,2,kmeans
Ic11,4,kmeans
Ie15,2,kmeans
SCCS37,3,kmeans
Ia9,2,kmeans
CARNEIRO6_004,0,kmeans
SCCS44,3,kmeans
Ca27,0,kmeans
Ei13,2,kmeans
Ag37,2,kmeans
Id13,0,kmeans
Ai44,2,kmeans
Af39,2,kmeans
CARNEIRO4_041,0,kmeans
Sj7,2,kmeans
Ne9,2,kmeans
Sc10,2,kmeans
Ca18,0,kmeans
Cb25,0,kmeans
Ne10,4,kmeans
Nh2,0,kmeans
CARNEIRO4_010,0,kmeans
Af31,0,kmeans
Ei19,2,kmeans
Ne11,2,kmeans
CARNEIRO4_003,0,kmeans
Ad36,0,kmeans
CARNEIRO6_035,0,kmeans
Ah10,0,kmeans
WNAI53,1,kmeans
Af41,0,kmeans
Af45,0,kmeans
Si9,0,kmeans
Cb27,0,kmeans
Na13,4,kmeans
Ae48,0,kmeans
Ae9,0,kmeans
Ai21,2,kmeans
Ag16,0,kmeans
Ad1,0,kmeans
Si3,2,kmeans
Ea8,0,kmeans
Ae53,0,kmeans
Af46,0,kmeans
Ag15,0,kmeans
Ae33,0,kmeans
