culture_id,source,cluster_id,method
CARNEIRO4_092,dplace,0,kmeans
Aa2,dplace,0,kmeans
CARNEIRO4_045,dplace,0,kmeans
Aa4,dplace,0,kmeans
Aa6,dplace,0,kmeans
SCCS9,dplace,0,kmeans
Ab1,dplace,0,kmeans
Ab10,dplace,0,kmeans
Ab11,dplace,0,kmeans
CARNEIRO6_073,dplace,0,kmeans
Ab13,dplace,0,kmeans
Ab14,dplace,0,kmeans
Ab16,dplace,0,kmeans
Ab17,dplace,0,kmeans
Ab18,dplace,0,kmeans
Ab19,dplace,0,kmeans
Ab2,dplace,0,kmeans
SCCS4,dplace,0,kmeans
CARNEIRO4_031,dplace,0,kmeans
SCCS5,dplace,0,kmeans
Ab6,dplace,0,kmeans
Ab7,dplace,0,kmeans
Ab8,dplace,0,kmeans
Ab9,dplace,0,kmeans
Ac1,dplace,0,kmeans
Ac10,dplace,0,kmeans
Ac11,dplace,0,kmeans
Ac12,dplace,0,kmeans
Ac13,dplace,0,kmeans
Ac14,dplace,0,kmeans
Ac2,dplace,0,kmeans
Ac21,dplace,0,kmeans
Ac23,dplace,0,kmeans
Ac25,dplace,0,kmeans
Ac27,dplace,0,kmeans
Ac28,dplace,0,kmeans
Ac3,dplace,0,kmeans
Ac30,dplace,0,kmeans
Ae6,dplace,0,kmeans
Ac36,dplace,0,kmeans
Ac38,dplace,0,kmeans
Ac4,dplace,0,kmeans
Ac5,dplace,0,kmeans
Ac6,dplace,0,kmeans
Ac7,dplace,0,kmeans
Ac8,dplace,0,kmeans
Ac9,dplace,0,kmeans
Ad12,dplace,0,kmeans
CARNEIRO4_038,dplace,0,kmeans
SCCS10,dplace,0,kmeans
Ad16,dplace,0,kmeans
Ad19,dplace,0,kmeans
Ad2,dplace,0,kmeans
Ad20,dplace,0,kmeans
Ad22,dplace,0,kmeans
Ad29,dplace,0,kmeans
Ad3,dplace,0,kmeans
Ad30,dplace,0,kmeans
Ad32,dplace,0,kmeans
SCCS11,dplace,0,kmeans
Ad41,dplace,0,kmeans
Ad44,dplace,0,kmeans
Ad46,dplace,0,kmeans
Ad47,dplace,0,kmeans
Ad48,dplace,0,kmeans
SCCS8,dplace,0,kmeans
CARNEIRO4_011,dplace,0,kmeans
Ad8,dplace,0,kmeans
Ad9,dplace,0,kmeans
Ae1,dplace,0,kmeans
Ae10,dplace,0,kmeans
Ae12,dplace,0,kmeans
Ae18,dplace,0,kmeans
Ae2,dplace,0,kmeans
Ae20,dplace,0,kmeans
Ae22,dplace,0,kmeans
Ae24,dplace,0,kmeans
Ae28,dplace,0,kmeans
Ae3,dplace,0,kmeans
SCCS14,dplace,0,kmeans
Ae5,dplace,0,kmeans
SCCS15,dplace,0,kmeans
Ae7,dplace,0,kmeans
Ae8,dplace,0,kmeans
Af1,dplace,0,kmeans
SCCS17,dplace,0,kmeans
Af11,dplace,0,kmeans
Af13,dplace,0,kmeans
Af15,dplace,0,kmeans
Af19,dplace,0,kmeans
Af2,dplace,0,kmeans
Af20,dplace,0,kmeans
Af21,dplace,0,kmeans
Af22,dplace,0,kmeans
Af24,dplace,0,kmeans
Af28,dplace,0,kmeans
CARNEIRO4_010,dplace,0,kmeans
Af32,dplace,0,kmeans
Af36,dplace,0,kmeans
Af39,dplace,0,kmeans
Af42,dplace,0,kmeans
Af43,dplace,0,kmeans
Af49,dplace,0,kmeans
SCCS20,dplace,0,kmeans
Af54,dplace,0,kmeans
Af6,dplace,0,kmeans
Af8,dplace,0,kmeans
Af9,dplace,0,kmeans
SCCS22,dplace,0,kmeans
Ag10,dplace,0,kmeans
Ag47,dplace,0,kmeans
CARNEIRO6_009,dplace,0,kmeans
Ag37,dplace,0,kmeans
SCCS23,dplace,0,kmeans
Ah12,dplace,0,kmeans
Ah15,dplace,0,kmeans
Ah2,dplace,0,kmeans
Ah3,dplace,0,kmeans
Ah5,dplace,0,kmeans
Ah6,dplace,0,kmeans
Ah7,dplace,0,kmeans
Ah8,dplace,0,kmeans
Ah9,dplace,0,kmeans
Ai1,dplace,0,kmeans
SCCS30,dplace,0,kmeans
Ai18,dplace,0,kmeans
Ai21,dplace,0,kmeans
Ai23,dplace,0,kmeans
Ai27,dplace,0,kmeans
Ai3,dplace,0,kmeans
Ai32,dplace,0,kmeans
Ai35,dplace,0,kmeans
Ai37,dplace,0,kmeans
Ai38,dplace,0,kmeans
Ai39,dplace,0,kmeans
Ai4,dplace,0,kmeans
Ai40,dplace,0,kmeans
Ai41,dplace,0,kmeans
Ai42,dplace,0,kmeans
Ai43,dplace,0,kmeans
Ai44,dplace,0,kmeans
Ai46,dplace,0,kmeans
SCCS32,dplace,0,kmeans
Ai6,dplace,0,kmeans
Ai7,dplace,0,kmeans
Ai8,dplace,0,kmeans
SCCS27,dplace,0,kmeans
Aj11,dplace,0,kmeans
Aj12,dplace,0,kmeans
Aj17,dplace,0,kmeans
Aj19,dplace,0,kmeans
Aj2,dplace,0,kmeans
Aj23,dplace,0,kmeans
CARNEIRO4_037,dplace,0,kmeans
Aj29,dplace,0,kmeans
Aj3,dplace,0,kmeans
CARNEIRO4_040,dplace,0,kmeans
Aj5,dplace,0,kmeans
Aj6,dplace,0,kmeans
Aj7,dplace,0,kmeans
Aj8,dplace,0,kmeans
CARNEIRO4_108,dplace,0,kmeans
CARNEIRO4_001,dplace,0,kmeans
CARNEIRO6_001,dplace,0,kmeans
CARNEIRO4_003,dplace,0,kmeans
CARNEIRO4_004,dplace,0,kmeans
CARNEIRO4_005,dplace,0,kmeans
CARNEIRO4_006,dplace,0,kmeans
CARNEIRO4_007,dplace,0,kmeans
CARNEIRO6_005,dplace,0,kmeans
CARNEIRO4_012,dplace,0,kmeans
CARNEIRO4_013,dplace,0,kmeans
Ij6,dplace,0,kmeans
CARNEIRO4_015,dplace,0,kmeans
CARNEIRO6_013,dplace,0,kmeans
CARNEIRO4_018,dplace,0,kmeans
CARNEIRO4_021,dplace,0,kmeans
CARNEIRO4_022,dplace,0,kmeans
CARNEIRO4_023,dplace,0,kmeans
Nh13,dplace,0,kmeans
CARNEIRO4_025,dplace,0,kmeans
CARNEIRO6_017,dplace,0,kmeans
CARNEIRO4_027,dplace,0,kmeans
CARNEIRO4_028,dplace,0,kmeans
CARNEIRO4_029,dplace,0,kmeans
CARNEIRO4_030,dplace,0,kmeans
CARNEIRO4_032,dplace,0,kmeans
Ia8,dplace,0,kmeans
CARNEIRO4_034,dplace,0,kmeans
CARNEIRO4_035,dplace,0,kmeans
CARNEIRO4_039,dplace,0,kmeans
CARNEIRO4_041,dplace,0,kmeans
CARNEIRO4_042,dplace,0,kmeans
CARNEIRO6_040,dplace,0,kmeans
If4,dplace,0,kmeans
Nf9,dplace,0,kmeans
CARNEIRO4_047,dplace,0,kmeans
CARNEIRO6_042,dplace,0,kmeans
CARNEIRO4_049,dplace,0,kmeans
Ne5,dplace,0,kmeans
Nd12,dplace,0,kmeans
CARNEIRO4_052,dplace,0,kmeans
CARNEIRO4_053,dplace,0,kmeans
CARNEIRO6_036,dplace,0,kmeans
CARNEIRO6_075,dplace,0,kmeans
CARNEIRO6_030,dplace,0,kmeans
CARNEIRO4_057,dplace,0,kmeans
CARNEIRO6_048,dplace,0,kmeans
CARNEIRO4_059,dplace,0,kmeans
Na26,dplace,0,kmeans
CARNEIRO4_062,dplace,0,kmeans
CARNEIRO4_063,dplace,0,kmeans
CARNEIRO4_064,dplace,0,kmeans
CARNEIRO6_049,dplace,0,kmeans
CARNEIRO6_053,dplace,0,kmeans
CARNEIRO4_067,dplace,0,kmeans
CARNEIRO4_068,dplace,0,kmeans
CARNEIRO4_069,dplace,0,kmeans
Ec5,dplace,0,kmeans
CARNEIRO4_071,dplace,0,kmeans
CARNEIRO4_072,dplace,0,kmeans
CARNEIRO4_073,dplace,0,kmeans
CARNEIRO6_046,dplace,0,kmeans
CARNEIRO4_075,dplace,0,kmeans
CARNEIRO4_076,dplace,0,kmeans
CARNEIRO6_057,dplace,0,kmeans
Sf7,dplace,0,kmeans
Sc2,dplace,0,kmeans
CARNEIRO6_052,dplace,0,kmeans
CARNEIRO4_081,dplace,0,kmeans
CARNEIRO6_063,dplace,0,kmeans
CARNEIRO4_083,dplace,0,kmeans
CARNEIRO6_058,dplace,0,kmeans
CARNEIRO6_064,dplace,0,kmeans
CARNEIRO4_086,dplace,0,kmeans
CARNEIRO6_059,dplace,0,kmeans
CARNEIRO6_069,dplace,0,kmeans
CARNEIRO6_065,dplace,0,kmeans
CARNEIRO4_090,dplace,0,kmeans
CARNEIRO4_093,dplace,0,kmeans
Id10,dplace,0,kmeans
CARNEIRO4_095,dplace,0,kmeans
CARNEIRO4_096,dplace,0,kmeans
CARNEIRO6_068,dplace,0,kmeans
CARNEIRO4_098,dplace,0,kmeans
CARNEIRO4_100,dplace,0,kmeans
CARNEIRO4_101,dplace,0,kmeans
CARNEIRO4_102,dplace,0,kmeans
Ea3,dplace,0,kmeans
CARNEIRO4_105,dplace,0,kmeans
CARNEIRO6_025,dplace,0,kmeans
CARNEIRO6_032,dplace,0,kmeans
CARNEIRO4_109,dplace,0,kmeans
If9,dplace,0,kmeans
Ne4,dplace,0,kmeans
CARNEIRO4_113,dplace,0,kmeans
Ig3,dplace,0,kmeans
CARNEIRO4_115,dplace,0,kmeans
CARNEIRO4_116,dplace,0,kmeans
Sc7,dplace,0,kmeans
CARNEIRO4_119,dplace,0,kmeans
CARNEIRO4_121,dplace,0,kmeans
CARNEIRO4_122,dplace,0,kmeans
CARNEIRO4_123,dplace,0,kmeans
CARNEIRO4_124,dplace,0,kmeans
Na28,dplace,0,kmeans
CARNEIRO4_126,dplace,0,kmeans
CARNEIRO4_127,dplace,0,kmeans
CARNEIRO6_002,dplace,0,kmeans
CARNEIRO6_004,dplace,0,kmeans
CARNEIRO6_015,dplace,0,kmeans
Ij7,dplace,0,kmeans
CARNEIRO6_027,dplace,0,kmeans
CARNEIRO6_028,dplace,0,kmeans
CARNEIRO6_035,dplace,0,kmeans
Nb6,dplace,0,kmeans
CARNEIRO6_043,dplace,0,kmeans
CARNEIRO6_047,dplace,0,kmeans
CARNEIRO6_054,dplace,0,kmeans
CARNEIRO6_055,dplace,0,kmeans
CARNEIRO6_056,dplace,0,kmeans
CARNEIRO6_066,dplace,0,kmeans
CARNEIRO6_074,dplace,0,kmeans
CARNEIRO6_076,dplace,0,kmeans
CARNEIRO6_078,dplace,0,kmeans
SCCS35,dplace,0,kmeans
Ca11,dplace,0,kmeans
Ca15,dplace,0,kmeans
Ca16,dplace,0,kmeans
Ca17,dplace,0,kmeans
Ca21,dplace,0,kmeans
Ca22,dplace,0,kmeans
Ca23,dplace,0,kmeans
Ca24,dplace,0,kmeans
Ca28,dplace,0,kmeans
Ca3,dplace,0,kmeans
