culture_id,source,cluster_id
CARNEIRO4_092,dplace,1
Aa2,dplace,0
CARNEIRO4_045,dplace,1
Aa4,dplace,1
Aa6,dplace,0
SCCS9,dplace,1
Ab1,dplace,1
Ab10,dplace,1
Ab11,dplace,1
CARNEIRO6_073,dplace,2
Ab13,dplace,1
Ab14,dplace,0
Ab16,dplace,0
Ab17,dplace,1
Ab18,dplace,0
Ab19,dplace,0
Ab2,dplace,0
SCCS4,dplace,1
CARNEIRO4_031,dplace,1
SCCS5,dplace,1
Ab6,dplace,0
Ab7,dplace,1
Ab8,dplace,1
Ab9,dplace,1
Ac1,dplace,0
Ac10,dplace,0
Ac11,dplace,0
Ac12,dplace,0
Ac13,dplace,1
Ac14,dplace,0
Ac2,dplace,1
Ac21,dplace,0
Ac23,dplace,1
Ac25,dplace,1
Ac27,dplace,1
Ac28,dplace,1
Ac3,dplace,0
Ac30,dplace,0
Ae6,dplace,1
Ac36,dplace,0
Ac38,dplace,1
Ac4,dplace,1
Ac5,dplace,0
Ac6,dplace,0
Ac7,dplace,1
Ac8,dplace,0
Ac9,dplace,0
Ad12,dplace,1
CARNEIRO4_038,dplace,1
SCCS10,dplace,6
Ad16,dplace,1
Ad19,dplace,1
Ad2,dplace,1
Ad20,dplace,1
Ad22,dplace,1
Ad29,dplace,1
Ad3,dplace,1
Ad30,dplace,1
Ad32,dplace,1
SCCS11,dplace,6
Ad41,dplace,1
Ad44,dplace,0
Ad46,dplace,0
Ad47,dplace,1
Ad48,dplace,1
SCCS8,dplace,6
CARNEIRO4_011,dplace,1
Ad8,dplace,1
Ad9,dplace,1
Ae1,dplace,1
Ae10,dplace,1
Ae12,dplace,1
Ae18,dplace,1
Ae2,dplace,1
Ae20,dplace,0
Ae22,dplace,1
Ae24,dplace,1
Ae28,dplace,0
Ae3,dplace,1
SCCS14,dplace,3
Ae5,dplace,1
SCCS15,dplace,6
Ae7,dplace,1
Ae8,dplace,1
Af1,dplace,0
SCCS17,dplace,6
Af11,dplace,1
Af13,dplace,1
Af15,dplace,0
Af19,dplace,0
Af2,dplace,0
Af20,dplace,0
