culture_id,culture_name,source,lat,lon,time_start,time_end,cluster_k10_kmeans,cluster_k10_hierarchical
1,Early Qing,seshat,34.701825,112.517587,1644,1796.0,0,0
10,Late Formative Basin of Mexico,seshat,19.43,-99.13,-400,-101.0,5,7
101,Haudenosaunee Confederacy - Early,seshat,42.70498,-77.021375,1566,1713.0,2,9
102,Haudenosaunee Confederacy - Late,seshat,42.70498,-77.021375,1714,1848.0,2,9
103,Canaan,seshat,32.6996,35.3035,-2000,-1175.0,5,7
104,Phoenician Empire,seshat,32.6996,35.3035,-1200,-332.0,5,7
106,Neo-Assyrian Empire,seshat,32.47,44.42,-911,-612.0,0,0
108,Seleucid Empire,seshat,32.47,44.42,-312,-63.0,0,0
109,Ptolemaic Kingdom I,seshat,25.725715,32.714706,-305,-217.0,0,0
11,Terminal Formative Basin of Mexico,seshat,19.43,-99.13,-100,99.0,5,7
110,Yehuda,seshat,32.6996,35.3035,-141,-63.0,0,0
111,Early A'chik,seshat,25.4444444439,90.5185390109,1775,1867.0,2,9
112,Late A'chik,seshat,25.4444444439,90.5185390109,1867,1956.0,2,9
113,Akan - Pre-Ashanti,seshat,5.573135,-0.21792,1501,1701.0,0,0
114,Ashanti Empire,seshat,5.573135,-0.21792,1701,1895.0,0,0
115,Icelandic Commonwealth,seshat,64.133088,-21.891497,930,1262.0,0,0
116,Kingdom of Norway II,seshat,64.133088,-21.891497,1262,1396.0,0,0
125,Parthian Empire I,seshat,32.382851,48.235564,-247,40.0,0,0
126,Indo-Greek Kingdom,seshat,29.377664,67.628836,-180,-10.0,0,0
128,Sasanid Empire I,seshat,32.382851,48.235564,205,487.0,0,0
13,Epiclassic Basin of Mexico,seshat,19.43,-99.13,650,899.0,5,7
130,Sasanid Empire II,seshat,32.382851,48.235564,488,642.0,0,0
131,Umayyad Caliphate,seshat,32.47,44.42,661,750.0,0,0
132,Abbasid Caliphate I,seshat,32.47,44.42,750,946.0,8,8
133,Sind - Abbasid-Fatimid Period,seshat,29.377664,67.628836,854,1193.0,0,0
134,Ghur Principality,seshat,29.377664,67.628836,1025,1215.0,0,0
135,Delhi Sultanate,seshat,29.377664,67.628836,1206,1526.0,0,0
136,Sind - Samma Dynasty,seshat,29.377664,67.628836,1335,1521.0,8,8
137,Durrani Empire,seshat,29.377664,67.628836,1747,1826.0,8,8
14,Toltecs,seshat,19.43,-99.13,900,1199.0,5,7
144,Kansai - Yayoi Period,seshat,35.02528,135.7622,-300,250.0,8,8
145,Kansai - Kofun Period,seshat,35.02528,135.7622,250,537.0,0,0
146,Asuka,seshat,35.02528,135.7622,538,710.0,5,7
147,Heian,seshat,35.02528,135.7622,794,1185.0,0,0
148,Kamakura Shogunate,seshat,35.02528,135.7622,1185,1333.0,0,0
149,Ashikaga Shogunate,seshat,35.02528,135.7622,1336,1467.0,0,0
15,Middle Postclassic Basin of Mexico,seshat,19.43,-99.13,1200,1426.0,5,7
150,Warring States Japan,seshat,35.02528,135.7622,1467,1568.0,0,0
151,Japan - Azuchi-Momoyama,seshat,35.02528,135.7622,1568,1603.0,0,0
152,Tokugawa Shogunate,seshat,35.02528,135.7622,1603,1868.0,0,0
153,Iban - Pre-Brooke,seshat,0.77412081365,112.405971685,1650,1841.0,8,8
154,Iban - Brooke Raj and Colonial,seshat,0.77412081365,112.405971685,1841,1987.0,0,0
16,Aztec Empire,seshat,19.43,-99.13,1427,1526.0,5,7
162,Hatti - Old Kingdom,seshat,37.877845,32.521164,-1650,-1500.0,0,0
163,Konya Plain - Late Bronze Age II,seshat,37.877845,32.521164,-1500,-1400.0,0,0
164,Hatti - New Kingdom,seshat,37.877845,32.521164,-1400,-1180.0,0,0
165,Neo-Hittite Kingdoms,seshat,37.877845,32.521164,-1180,-900.0,0,0
168,Kingdom of Lydia,seshat,37.877845,32.521164,-670,-546.0,0,0
169,Lysimachus Kingdom,seshat,37.877845,32.521164,-323,-281.0,0,0
171,Rum Sultanate,seshat,37.877845,32.521164,1077,1307.0,0,0
173,Ottoman Emirate,seshat,37.877845,32.521164,1299,1402.0,0,0
174,Ottoman Empire I,seshat,37.877845,32.521164,1402,1517.0,0,0
175,Ottoman Empire II,seshat,37.877845,32.521164,1517,1683.0,0,0
176,Ottoman Empire III,seshat,37.877845,32.521164,1683,1839.0,0,0
177,Ottoman Empire IV,seshat,37.877845,32.521164,1839,1922.0,0,0
179,Latium - Bronze Age,seshat,41.890407,12.486948,-1800,-900.0,8,8
180,Latium - Iron Age,seshat,41.890407,12.486948,-1000,-580.0,0,0
