statistic,p_value,z_score,significant,interpretation,feature,n_ones,n_zeros
-0.0096247511129579,0.9927521815712981,-0.009083918230318636,False,Random spatial distribution (no significant autocorrelation),CARNEIRO4_182,22,1828
-0.004146721904506223,0.9971229230563199,-0.003605889021866959,False,Random spatial distribution (no significant autocorrelation),CARNEIRO4_276,9,1841
-0.002280407095567204,0.9986120212931653,-0.0017395742129279394,False,Random spatial distribution (no significant autocorrelation),CARNEIRO6_319,19,1831
-0.006495398163984405,0.9952489723718156,-0.005954565281345141,False,Random spatial distribution (no significant autocorrelation),CARNEIRO6_450,27,1823
-0.003941121358605741,0.9972869675507476,-0.0034002884759664767,False,Random spatial distribution (no significant autocorrelation),CARNEIRO6_469,21,1829
0.00020554279497626612,0.9994044784255636,0.0007463756776155306,False,Random spatial distribution (no significant autocorrelation),CARNEIRO6_477,13,1837
-0.003438957034238415,0.9976876347211232,-0.0028981241515991505,False,Random spatial distribution (no significant autocorrelation),CARNEIRO6_478,7,1843
-0.005398302773538287,0.9961243150106329,-0.004857469890899023,False,Random spatial distribution (no significant autocorrelation),CARNEIRO6_481,10,1840
0.17167052588249915,0.8632713682868729,0.1722113587651384,False,Random spatial distribution (no significant autocorrelation),EA112,65566,-63716
-0.012101220971963672,0.9907763502724762,-0.011560388089324407,False,Random spatial distribution (no significant autocorrelation),SCCS1170,2513,-663
-0.011690600781545027,0.9911039566593602,-0.011149767898905762,False,Random spatial distribution (no significant autocorrelation),SCCS1171,2488,-638
-0.01181200165456325,0.9910070988636441,-0.011271168771923985,False,Random spatial distribution (no significant autocorrelation),SCCS1172,2478,-628
-0.011721400320005316,0.9910793837148353,-0.01118056743736605,False,Random spatial distribution (no significant autocorrelation),SCCS1173,2500,-650
-0.01864348871759927,0.9855569592496078,-0.018102655834960006,False,Random spatial distribution (no significant autocorrelation),SCCS1823,5130,-3280
-0.018903490377651867,0.985349542418483,-0.0183626574950126,False,Random spatial distribution (no significant autocorrelation),SCCS1838,5150,-3300
-0.029228000520118425,0.9771140908987681,-0.02868716763747916,False,Random spatial distribution (no significant autocorrelation),SCCS1948,14092,-12242
-0.02342631256980936,0.981741622894452,-0.022885479687170095,False,Random spatial distribution (no significant autocorrelation),SCCS1949,12548,-10698
-0.034225613497307766,0.973128515395957,-0.0336847806146685,False,Random spatial distribution (no significant autocorrelation),SCCS1962,14464,-12614
-0.02540794180405946,0.980160962395416,-0.024867108921420196,False,Random spatial distribution (no significant autocorrelation),SCCS200,662,1188
-0.002623440625356653,0.9983383206370653,-0.0020826077427173887,False,Random spatial distribution (no significant autocorrelation),SCCS529,561,1289
-0.0013766995518661245,0.9993330749673945,-0.00083586666922686,False,Random spatial distribution (no significant autocorrelation),SCCS530,484,1366
-0.003450223554646608,0.997678645376334,-0.0029093906720073434,False,Random spatial distribution (no significant autocorrelation),SCCS531,633,1217
-3.36037669776618e-05,0.999595289737178,0.0005072291156616027,False,Random spatial distribution (no significant autocorrelation),SCCS532,607,1243
-0.003179731202230356,0.997894466217017,-0.0026388983195910916,False,Random spatial distribution (no significant autocorrelation),SCCS535,585,1265
0.001062353724636862,0.9987208427059184,0.0016031866072761265,False,Random spatial distribution (no significant autocorrelation),SCCS536,540,1310
-0.02576041538340648,0.9798798173463963,-0.025219582500767213,False,Random spatial distribution (no significant autocorrelation),SCCS573,10408,-8558
-0.03934351188903611,0.9690477089065119,-0.03880267900639685,False,Random spatial distribution (no significant autocorrelation),SCCS576,11958,-10108
-0.0420969898776679,0.9668525246760533,-0.04155615699502863,False,Random spatial distribution (no significant autocorrelation),SCCS580,11367,-9517
-0.045185358347941046,0.964390651831313,-0.04464452546530178,False,Random spatial distribution (no significant autocorrelation),SCCS623,11070,-9220
-0.04342467694503095,0.9657941274731494,-0.042883844062391686,False,Random spatial distribution (no significant autocorrelation),SCCS633,9396,-7546
-0.04363516149866388,0.9656263402100751,-0.043094328616024614,False,Random spatial distribution (no significant autocorrelation),SCCS635,9456,-7606
-0.01790217649581504,0.9861483478319293,-0.017361343613175775,False,Random spatial distribution (no significant autocorrelation),SCCS653,6000,-4150
-0.015819548021005016,0.9878098233614223,-0.015278715138365751,False,Random spatial distribution (no significant autocorrelation),SCCS654,5890,-4040
