feature,pagels_lambda,blombergs_k,lambda_p_value,k_p_value,signal_strength
feature_0,0.44476269102070465,1.4802612078164992,0.3285554794754147,0.37359100142108254,Moderate
feature_1,0.21890782584932697,0.6216052593480571,0.3202117119831568,0.4505217514982471,Weak
feature_2,0.5742462356525575,0.6340248943189918,0.06672242266069907,0.4236510889538,Weak
feature_3,0.2835814032247486,1.0202319605040255,0.028185526781528112,0.04952818602167691,Weak
feature_4,0.6034089605857189,1.1891814104275167,0.17732000923813676,0.11564878496909194,Moderate
feature_5,0.6882261624543848,0.7171032294698904,0.2755932641365261,0.4844223320228237,Moderate
feature_6,0.2887114627174303,1.4408762674947089,0.09961759600364764,0.28804717193138246,Weak
feature_7,0.4262046271752468,1.464928601501826,0.14403559421094908,0.2058324210220193,Moderate
feature_8,0.7897160707132523,1.0364703911884732,0.2562887566544142,0.13631145921995574,Strong
feature_9,0.6208181361862649,0.5143729517777776,0.03426118855412383,0.3036857076965433,Weak
feature_10,0.4050047442910725,1.4533163722009605,0.45256343845416497,0.3597160667515865,Moderate
feature_11,0.6908873486766809,1.1673318496676934,0.07153523032797873,0.3851162511477093,Moderate
feature_12,0.32611518123130784,0.8234428551001968,0.4114247639301859,0.2728975481127896,Weak
feature_13,0.7159644285100456,0.7130353198432642,0.3078114349173747,0.0510575765486482,Moderate
feature_14,0.5858365961240178,1.2625340377755347,0.2966161380495736,0.14045343573441701,Moderate
feature_15,0.21880560131532004,0.6194488839642858,0.3149284597462728,0.46786590625283175,Weak
feature_16,0.3239206423832039,1.235026149105099,0.43456102099203037,0.2652322674392804,Weak
feature_17,0.6015594775061948,1.3150153166761482,0.13773082729289085,0.15547888039134106,Moderate
feature_18,0.2003765099770737,1.4630941308978025,0.45959699835220896,0.3846384492421209,Weak
