polity_id,var_id,raw_value,value,uncertainty,is_disputed,year_from,year_to
137,professional_priesthood,absent,0.0,certain,False,,
134,professional_priesthood,present,1.0,certain,False,1200.0,1200.0
350,professional_priesthood,present,1.0,certain,False,,
129,professional_priesthood,present,1.0,certain,False,,
281,professional_priesthood,present,1.0,certain,False,,
127,professional_priesthood,present,1.0,certain,False,,
467,professional_priesthood,present,1.0,certain,False,,
253,professional_priesthood,absent,0.0,certain,False,,
254,professional_priesthood,absent,0.0,certain,False,,
422,professional_priesthood,present,1.0,certain,False,,
421,professional_priesthood,present,1.0,certain,False,,
471,professional_priesthood,absent,0.0,certain,False,,
470,professional_priesthood,absent,0.0,certain,False,,
245,professional_priesthood,present,1.0,certain,False,,
420,professional_priesthood,unknown,,certain,False,,
266,professional_priesthood,present,1.0,certain,False,,
269,professional_priesthood,present,1.0,certain,False,,
258,professional_priesthood,absent,0.0,certain,False,,
1,professional_priesthood,present,1.0,certain,False,,
2,professional_priesthood,present,1.0,certain,False,,
243,professional_priesthood,present,1.0,certain,False,,
260,professional_priesthood,absent,0.0,certain,False,,
264,professional_priesthood,present,1.0,certain,False,,
251,professional_priesthood,absent,0.0,certain,False,,
244,professional_priesthood,present,1.0,certain,False,,
419,professional_priesthood,unknown,,certain,False,,
268,professional_priesthood,present,1.0,certain,False,,
436,professional_priesthood,present,1.0,certain,False,,
196,professional_priesthood,absent,0.0,certain,False,,
197,professional_priesthood,absent,0.0,certain,False,,
367,professional_priesthood,present,1.0,certain,False,,
510,professional_priesthood,absent,0.0,certain,False,,
514,professional_priesthood,absent,0.0,certain,False,,
515,professional_priesthood,absent,0.0,certain,False,,
205,professional_priesthood,present,1.0,certain,False,,
232,professional_priesthood,present,1.0,certain,False,,
239,professional_priesthood,present,1.0,certain,False,,
236,professional_priesthood,present,1.0,certain,False,,
519,professional_priesthood,present,1.0,certain,False,,
511,professional_priesthood,absent,0.0,certain,False,,
512,professional_priesthood,absent,0.0,certain,False,,
513,professional_priesthood,absent,0.0,certain,False,,
199,professional_priesthood,present,1.0,certain,False,,
198,professional_priesthood,present,1.0,certain,False,,
516,professional_priesthood,absent,0.0,certain,False,,
517,professional_priesthood,absent,0.0,certain,False,,
109,professional_priesthood,present,1.0,certain,False,,
207,professional_priesthood,present,1.0,certain,False,,
518,professional_priesthood,present,1.0,certain,False,,
203,professional_priesthood,present,1.0,certain,False,,
520,professional_priesthood,present,1.0,certain,False,,
200,professional_priesthood,present,1.0,certain,False,,
361,professional_priesthood,absent,0.0,certain,False,,
84,professional_priesthood,present,1.0,certain,False,,
208,professional_priesthood,present,1.0,certain,False,,
57,professional_priesthood,absent,0.0,certain,False,,
58,professional_priesthood,absent,0.0,certain,False,,
448,professional_priesthood,unknown,,certain,False,,
447,professional_priesthood,unknown,,certain,False,,
460,professional_priesthood,present,1.0,certain,False,,
457,professional_priesthood,present,1.0,certain,False,,
458,professional_priesthood,present,1.0,certain,False,,
309,professional_priesthood,present,1.0,certain,False,,
311,professional_priesthood,present,1.0,certain,False,,
449,professional_priesthood,absent,0.0,certain,False,,
450,professional_priesthood,absent,0.0,certain,False,,
451,professional_priesthood,absent,0.0,certain,False,,
452,professional_priesthood,unknown,,certain,False,,
304,professional_priesthood,present,1.0,certain,False,,
456,professional_priesthood,present,1.0,certain,False,,
453,professional_priesthood,unknown,,certain,False,,
454,professional_priesthood,present,1.0,certain,False,,
455,professional_priesthood,present,1.0,certain,False,,
333,professional_priesthood,present,1.0,certain,False,,
459,professional_priesthood,present,1.0,certain,False,,
113,professional_priesthood,present,1.0,certain,False,,
114,professional_priesthood,present,1.0,certain,False,,
67,professional_priesthood,present,1.0,certain,False,,
68,professional_priesthood,present,1.0,certain,False,,
74,professional_priesthood,present,1.0,certain,False,,
66,professional_priesthood,unknown,,certain,False,,
69,professional_priesthood,present,1.0,certain,False,,
63,professional_priesthood,present,1.0,certain,False,,
59,professional_priesthood,absent,0.0,certain,False,,
62,professional_priesthood,present,1.0,certain,False,,
61,professional_priesthood,unknown,,certain,False,,
64,professional_priesthood,present,1.0,certain,False,,
17,professional_priesthood,absent,0.0,certain,False,,
18,professional_priesthood,absent,0.0,certain,False,1200.0,1500.0
18,professional_priesthood,present,1.0,certain,False,1500.0,1580.0
19,professional_priesthood,present,1.0,certain,False,,
153,professional_priesthood,absent,0.0,certain,False,,
154,professional_priesthood,present,1.0,certain,False,,
47,professional_priesthood,present,1.0,certain,False,,
49,professional_priesthood,present,1.0,certain,False,,
50,professional_priesthood,present,1.0,certain,False,,
51,professional_priesthood,present,1.0,certain,False,,
48,professional_priesthood,present,1.0,certain,False,,
103,professional_priesthood,present,1.0,certain,False,,
110,professional_priesthood,present,1.0,certain,False,,
105,professional_priesthood,present,1.0,certain,False,,
92,professional_priesthood,present,1.0,certain,False,,
94,professional_priesthood,present,1.0,certain,False,,
86,professional_priesthood,unknown,,certain,False,,
88,professional_priesthood,present,1.0,certain,False,,
85,professional_priesthood,absent,0.0,certain,False,,
135,professional_priesthood,present,1.0,certain,False,,
111,professional_priesthood,absent,0.0,certain,False,,
112,professional_priesthood,absent,0.0,certain,False,,
388,professional_priesthood,present,1.0,certain,False,,
95,professional_priesthood,present,1.0,certain,False,,
91,professional_priesthood,present,1.0,certain,False,,
96,professional_priesthood,unknown,,certain,False,,
417,professional_priesthood,present,1.0,certain,False,,
384,professional_priesthood,present,1.0,certain,False,,
87,professional_priesthood,present,1.0,certain,False,,
98,professional_priesthood,unknown,,certain,False,,
93,professional_priesthood,present,1.0,certain,False,,
89,professional_priesthood,present,1.0,certain,False,,
90,professional_priesthood,present,1.0,certain,False,,
97,professional_priesthood,present,1.0,certain,False,,
132,professional_priesthood,absent,0.0,certain,False,,
484,professional_priesthood,absent,0.0,certain,False,,
476,professional_priesthood,present,1.0,certain,False,,
342,professional_priesthood,present,1.0,certain,False,,
481,professional_priesthood,present,1.0,certain,False,,
482,professional_priesthood,present,1.0,certain,False,,
475,professional_priesthood,unknown,,certain,False,,
480,professional_priesthood,present,1.0,certain,False,,
478,professional_priesthood,present,1.0,certain,False,,
106,professional_priesthood,present,1.0,certain,False,,
346,professional_priesthood,present,1.0,certain,False,,
473,professional_priesthood,unknown,,certain,False,,
474,professional_priesthood,unknown,,certain,False,,
107,professional_priesthood,present,1.0,certain,False,,
508,professional_priesthood,unknown,,certain,False,,
487,professional_priesthood,absent,0.0,certain,False,,
495,professional_priesthood,present,1.0,certain,False,,
362,professional_priesthood,unknown,,certain,False,,
502,professional_priesthood,unknown,,certain,False,,
486,professional_priesthood,absent,0.0,certain,False,,
172,professional_priesthood,present,1.0,certain,False,,
488,professional_priesthood,absent,0.0,certain,False,,
489,professional_priesthood,present,1.0,uncertain,False,,
489,professional_priesthood,absent,0.0,uncertain,False,,
491,professional_priesthood,present,1.0,certain,False,,
490,professional_priesthood,present,1.0,uncertain,False,,
490,professional_priesthood,absent,0.0,uncertain,False,,
499,professional_priesthood,present,1.0,certain,False,,
500,professional_priesthood,present,1.0,certain,False,,
501,professional_priesthood,present,1.0,certain,False,,
503,professional_priesthood,present,1.0,certain,False,,
504,professional_priesthood,present,1.0,certain,False,,
505,professional_priesthood,present,1.0,certain,False,,
125,professional_priesthood,present,1.0,certain,False,,
483,professional_priesthood,present,1.0,certain,False,,
485,professional_priesthood,absent,0.0,certain,False,,
509,professional_priesthood,present,1.0,certain,False,,
374,professional_priesthood,present,1.0,certain,False,,
128,professional_priesthood,present,1.0,certain,False,,
130,professional_priesthood,present,1.0,certain,False,,
108,professional_priesthood,present,1.0,certain,False,,
496,professional_priesthood,present,1.0,certain,False,,
497,professional_priesthood,present,1.0,certain,False,,
498,professional_priesthood,present,1.0,certain,False,,
492,professional_priesthood,present,1.0,certain,False,,
493,professional_priesthood,present,1.0,certain,False,,
494,professional_priesthood,unknown,,certain,False,,
115,professional_priesthood,absent,0.0,certain,False,930.0,1055.0
115,professional_priesthood,present,1.0,certain,False,1056.0,1262.0
179,professional_priesthood,absent,0.0,certain,False,,
178,professional_priesthood,absent,0.0,certain,False,,
180,professional_priesthood,present,1.0,certain,False,,
186,professional_priesthood,present,1.0,certain,False,,
189,professional_priesthood,present,1.0,certain,False,,
190,professional_priesthood,present,1.0,certain,False,,
192,professional_priesthood,present,1.0,certain,False,,
193,professional_priesthood,present,1.0,certain,False,,
191,professional_priesthood,present,1.0,certain,False,,
187,professional_priesthood,present,1.0,certain,False,,
183,professional_priesthood,present,1.0,certain,False,,
70,professional_priesthood,present,1.0,certain,False,,
181,professional_priesthood,present,1.0,certain,False,,
185,professional_priesthood,present,1.0,certain,False,,
188,professional_priesthood,present,1.0,certain,False,,
544,professional_priesthood,present,1.0,certain,False,,
545,professional_priesthood,present,1.0,certain,False,,
149,professional_priesthood,present,1.0,certain,False,,
146,professional_priesthood,present,1.0,certain,False,,
151,professional_priesthood,present,1.0,certain,False,,
147,professional_priesthood,present,1.0,certain,False,,
138,professional_priesthood,absent,0.0,certain,False,,
139,professional_priesthood,absent,0.0,certain,False,,
140,professional_priesthood,absent,0.0,certain,False,,
141,professional_priesthood,absent,0.0,certain,False,,
142,professional_priesthood,absent,0.0,certain,False,,
143,professional_priesthood,unknown,,certain,False,,
148,professional_priesthood,present,1.0,certain,False,,
145,professional_priesthood,present,1.0,certain,False,250.0,500.0
