id,name,polity_code,latitude,longitude,start_year,end_year,region
1,Early Qing,cn_qing_dyn_1,34.701825,112.517587,1644,1796,North China
2,Late Qing,cn_qing_dyn_2,34.701825,112.517587,1796,1912,North China
6,Archaic Basin of Mexico,mx_basin_of_mexico_1,19.43,-99.13,-6000,-2001,Mexico
7,Initial Formative Basin of Mexico,mx_basin_of_mexico_2,19.43,-99.13,-2000,-1201,Mexico
8,Early Formative Basin of Mexico,mx_basin_of_mexico_3,19.43,-99.13,-1200,-801,Mexico
9,Middle Formative Basin of Mexico,mx_basin_of_mexico_4,19.43,-99.13,-800,-401,Mexico
10,Late Formative Basin of Mexico,mx_basin_of_mexico_5,19.43,-99.13,-400,-101,Mexico
11,Terminal Formative Basin of Mexico,mx_basin_of_mexico_6,19.43,-99.13,-100,99,Mexico
12,Classic Basin of Mexico,mx_basin_of_mexico_7,19.43,-99.13,100,649,Mexico
13,Epiclassic Basin of Mexico,mx_basin_of_mexico_8,19.43,-99.13,650,899,Mexico
14,Toltecs,mx_toltec,19.43,-99.13,900,1199,Mexico
15,Middle Postclassic Basin of Mexico,mx_basin_of_mexico_10,19.43,-99.13,1200,1426,Mexico
16,Aztec Empire,mx_aztec_emp,19.43,-99.13,1427,1526,Mexico
17,Hawaii I,us_hawaii_1,19.528931,-155.916989,1000,1200,Polynesia
18,Hawaii II,us_hawaii_2,19.528931,-155.916989,1200,1580,Polynesia
19,Hawaii III,us_hawaii_3,19.528931,-155.916989,1580,1778,Polynesia
20,Kingdom of Hawaii - Kamehameha Period,us_kamehameha_k,19.528931,-155.916989,1778,1819,Polynesia
21,Kingdom of Hawaii - Post-Kamehameha Period,us_hawaii_k,19.528931,-155.916989,1820,1898,Polynesia
22,Cahokia - Early Woodland,us_woodland_1,38.658938,-90.062035,-600,-150,Mississippi Basin
23,Cahokia - Middle Woodland,us_woodland_2,38.658938,-90.062035,-150,300,Mississippi Basin
24,Cahokia - Late Woodland I,us_woodland_3,38.658938,-90.062035,300,450,Mississippi Basin
25,Cahokia - Late Woodland II,us_woodland_4,38.658938,-90.062035,450,600,Mississippi Basin
26,Cahokia - Late Woodland III,us_woodland_5,38.658938,-90.062035,600,750,Mississippi Basin
27,Cahokia - Emergent Mississippian I,us_emergent_mississippian_1,38.658938,-90.062035,750,900,Mississippi Basin
28,Cahokia - Sand Prairie,us_cahokia_3,38.658938,-90.062035,1275,1400,Mississippi Basin
29,Oneota,us_oneota,38.658938,-90.062035,1400,1650,Mississippi Basin
30,Early Illinois Confederation,us_early_illinois_confederation,38.658938,-90.062035,1640,1717,Mississippi Basin
31,Late Illinois Confederation,us_late_illinois_confederation,,,1718,1778,Mississippi Basin
32,Cahokia - Lohman-Stirling,us_cahokia_1,38.658938,-90.062035,1050,1199,Mississippi Basin
33,Cahokia - Moorehead,us_cahokia_2,38.658938,-90.062035,1200,1275,Mississippi Basin
34,Cahokia - Emergent Mississippian II,us_emergent_mississippian_2,38.658938,-90.062035,900,1049,Mississippi Basin
35,Bronze Age Cambodia,kh_cambodia_ba,13.4125,103.8667,-1200,-501,Mainland Southeast Asia
36,Iron Age Cambodia,kh_cambodia_ia,13.4125,103.8667,-500,224,Mainland Southeast Asia
37,Funan I,kh_funan_1,13.4125,103.8667,225,540,Mainland Southeast Asia
38,Funan II,kh_funan_2,13.4125,103.8667,540,640,Mainland Southeast Asia
39,Chenla,kh_chenla,13.4125,103.8667,550,825,Mainland Southeast Asia
